ResponseId,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,A2_1,A2_2,A2_3,A2_4,A2_5,A2_6,A2_7,A2_8,A2_9,A2_10,A2_11
1001,Parent's Completion of Required Services,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Reason Child Entered Foster Care,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Age,Parent's Financial Situation,Parent's Attendance at Visits with Child,25%,Non-Hispanic White,> 5 Years,Graduated College,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",10-14 Years,SOME support,Mother,45 Years,Working and DOES NOT NEED public assistance to afford necessities,0%,Parent's Completion of Required Services,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Education,Reason Child Entered Foster Care,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Age,Parent's Financial Situation,Parent's Attendance at Visits with Child,0%,African American or Black,> 5 Years,Graduated College,"Inadequate Food, Shelter, or Clothing",10-14 Years,NO support,Mother,35 Years,Working and NEEDS public assistance to afford necessities,0%
1002,Parent,Child's Amount of Time in Foster Care,Parent's Age,Child's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Education,Father,> 5 Years,55 Years,5-9 Years,A LOT of support,Working and NEEDS public assistance to afford necessities,75%,75%,"Inadequate Food, Shelter, or Clothing",Asian,Some High School,Parent,Child's Amount of Time in Foster Care,Parent's Age,Child's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Parent's Attendance at Visits with Child,Parent's Completion of Required Services,Reason Child Entered Foster Care,Parent's Race/Ethnicity,Parent's Education,Mother,< 1 Year,55 Years,15-17 Years,SOME support,NOT working and DOES NOT NEED public assistance to afford necessities,50%,100%,Child Witnessed Domestic Violence in the Home (Parent was the victim),Asian,Some High School
1003,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Child's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent,"Environment Injurious (e.g., home was overcrowded, unclean, infested with pests or rodents, lacks a stove or furniture, or allows ready access to unsafe toxic chemicals)",Some College,50%,Working and DOES NOT NEED public assistance to afford necessities,25%,35 Years,A LOT of support,< 5 Years,Native American,3-5 Years,Mother,Reason Child Entered Foster Care,Parent's Education,Parent's Attendance at Visits with Child,Parent's Financial Situation,Parent's Completion of Required Services,Parent's Age,Parent's Level of Family / Community Support,Child's Age,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent,"Inadequate Food, Shelter, or Clothing",Some High School,25%,Working and DOES NOT NEED public assistance to afford necessities,50%,25 Years,SOME support,< 5 Years,Native American,1-3 Years,Mother
1004,Reason Child Entered Foster Care,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Child's Age,Parent's Level of Family / Community Support,Parent's Education,Parent's Age,Parent,Parent's Race/Ethnicity,Parent's Financial Situation,Parental Substance Misuse (drugs/alcohol),50%,< 1 Year,50%,15-17 Years,NO support,Some High School,35 Years,Mother,Native American,NOT working and NEEDS public assistance to afford necessities,Reason Child Entered Foster Care,Parent's Completion of Required Services,Child's Amount of Time in Foster Care,Parent's Attendance at Visits with Child,Child's Age,Parent's Level of Family / Community Support,Parent's Education,Parent's Age,Parent,Parent's Race/Ethnicity,Parent's Financial Situation,"Inadequate Food, Shelter, or Clothing",75%,1-3 Years,50%,15-17 Years,SOME support,Graduated College,45 Years,Mother,Native American,Working and NEEDS public assistance to afford necessities
1005,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Age,Parent's Attendance at Visits with Child,Parent's Education,5-9 Years,A LOT of support,Father,Hispanic or Latino,3-5 Years,50%,Working and NEEDS public assistance to afford necessities,"Inadequate Food, Shelter, or Clothing",35 Years,100%,Some College,Child's Age,Parent's Level of Family / Community Support,Parent,Parent's Race/Ethnicity,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Age,Parent's Attendance at Visits with Child,Parent's Education,< 5 Years,SOME support,Father,Non-Hispanic White,< 1 Year,75%,Working and DOES NOT NEED public assistance to afford necessities,Inadequate Supervision,35 Years,50%,Some High School
1006,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Education,Parent's Completion of Required Services,Parent,Hispanic or Latino,"Inadequate Food, Shelter, or Clothing",NOT working and DOES NOT NEED public assistance to afford necessities,45 Years,75%,SOME support,3-5 Years,5-9 Years,Graduated High School,0%,Father,Parent's Race/Ethnicity,Reason Child Entered Foster Care,Parent's Financial Situation,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Child's Amount of Time in Foster Care,Child's Age,Parent's Education,Parent's Completion of Required Services,Parent,African American or Black,"Inadequate Food, Shelter, or Clothing",Working and DOES NOT NEED public assistance to afford necessities,25 Years,100%,SOME support,< 1 Year,5-9 Years,Some High School,25%,Mother
1007,Parent,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Education,Parent's Completion of Required Services,Parent's Race/Ethnicity,Father,25 Years,0%,A LOT of support,"Inadequate Food, Shelter, or Clothing",1-3 Years,15-17 Years,NOT working and NEEDS public assistance to afford necessities,Some College,50%,Native American,Parent,Parent's Age,Parent's Attendance at Visits with Child,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Amount of Time in Foster Care,Child's Age,Parent's Financial Situation,Parent's Education,Parent's Completion of Required Services,Parent's Race/Ethnicity,Father,35 Years,25%,NO support,Inadequate Supervision,> 5 Years,10-14 Years,NOT working and DOES NOT NEED public assistance to afford necessities,Graduated College,0%,Hispanic or Latino
1008,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Education,Child's Age,Parent's Attendance at Visits with Child,Parent,Parent's Level of Family / Community Support,Child Witnessed Domestic Violence in the Home (Parent was the victim),75%,45 Years,Asian,NOT working and DOES NOT NEED public assistance to afford necessities,> 5 Years,Some College,< 5 Years,0%,Mother,A LOT of support,Reason Child Entered Foster Care,Parent's Completion of Required Services,Parent's Age,Parent's Race/Ethnicity,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Education,Child's Age,Parent's Attendance at Visits with Child,Parent,Parent's Level of Family / Community Support,Inadequate Supervision,75%,25 Years,Non-Hispanic White,Working and NEEDS public assistance to afford necessities,> 5 Years,Graduated College,< 5 Years,0%,Mother,A LOT of support
1009,Child's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,< 5 Years,1-3 Years,75%,Mother,Graduated High School,35 Years,SOME support,NOT working and NEEDS public assistance to afford necessities,Child Witnessed Domestic Violence in the Home (Parent was the victim),0%,African American or Black,Child's Age,Child's Amount of Time in Foster Care,Parent's Completion of Required Services,Parent,Parent's Education,Parent's Age,Parent's Level of Family / Community Support,Parent's Financial Situation,Reason Child Entered Foster Care,Parent's Attendance at Visits with Child,Parent's Race/Ethnicity,5-9 Years,3-5 Years,50%,Mother,Some College,25 Years,SOME support,NOT working and NEEDS public assistance to afford necessities,Child Witnessed Domestic Violence in the Home (Parent was the victim),50%,Hispanic or Latino
1010,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Race/Ethnicity,Some High School,Father,100%,0%,45 Years,SOME support,Parental Substance Misuse (drugs/alcohol),5-9 Years,Working and NEEDS public assistance to afford necessities,< 1 Year,Asian,Parent's Education,Parent,Parent's Completion of Required Services,Parent's Attendance at Visits with Child,Parent's Age,Parent's Level of Family / Community Support,Reason Child Entered Foster Care,Child's Age,Parent's Financial Situation,Child's Amount of Time in Foster Care,Parent's Race/Ethnicity,Some College,Father,25%,75%,25 Years,SOME support,Child Witnessed Domestic Violence in the Home (Parent was the victim),5-9 Years,Working and DOES NOT NEED public assistance to afford necessities,1-3 Years,Non-Hispanic White
